0,IT-Software / Software Services
1,Education / Teaching / Training
2,BPO / Call Centre / ITES
3,Banking / Financial Services / Broking
4,Recruitment / Staffing
5,Internet / Ecommerce
6,Pharma / Biotech / Clinical Research
7,Medical / Healthcare / Hospitals
8,Automobile / Auto Anciliary / Auto Components
9,Construction / Engineering / Cement / Metals
